x_value,total_1,total_2
0,1000,1000
1,1007,1004
2,1005,999
3,1008,1003
4,1006,1008
5,1005,1013
6,1003,1009
7,1010,1011
8,1014,1016
9,1017,1019
10,1012,1022
11,1008,1023
12,1003,1021
13,997,1018
14,1003,1020
15,1009,1022
16,1003,1023
17,998,1024
18,1006,1028
19,1010,1028
20,1006,1028
21,1005,1030
22,1003,1029
23,1004,1034
24,1003,1038
25,1006,1043
26,1005,1038
27,999,1043
28,1003,1044
29,1011,1039
30,1007,1038
31,1001,1043
32,999,1043
33,993,1038
34,993,1040
35,996,1043
36,994,1043
37,1000,1044
38,1003,1048
39,1009,1051
40,1004,1050
41,1005,1048
42,1012,1054
43,1014,1059
44,1020,1062
45,1023,1067
46,1019,1070
47,1027,1072
48,1023,1077
49,1024,1073
50,1029,1075
51,1025,1080
52,1030,1083
53,1031,1089
54,1028,1087
55,1022,1093
56,1025,1097
57,1031,1099
58,1031,1103
59,1034,1102
60,1039,1097
61,1045,1094
62,1047,1095
63,1042,1094
64,1042,1090
65,1048,1089
66,1043,1085
67,1038,1085
68,1034,1083
69,1042,1081
70,1040,1078
71,1048,1077
72,1043,1078
73,1047,1079
74,1046,1083
75,1044,1083
76,1040,1086
77,1036,1090
78,1038,1085
79,1041,1091
80,1048,1095
81,1049,1092
82,1055,1092
83,1051,1098
84,1052,1095
85,1055,1101
86,1055,1102
87,1055,1107
88,1050,1103
89,1055,1105
90,1057,1107
91,1061,1111
92,1066,1114
93,1074,1115
94,1070,1117
95,1069,1115
96,1074,1113
97,1069,1117
98,1076,1117
99,1071,1114
100,1075,1112
101,1080,1107
102,1081,1107
103,1087,1113
104,1091,1108
105,1096,1111
106,1101,1106
107,1099,1106
108,1104,1102
109,1104,1102
110,1103,1100
111,1098,1102
112,1096,1098
113,1090,1103
114,1089,1109
115,1083,1109
116,1086,1107
117,1084,1111
118,1080,1117
119,1083,1120
120,1090,1116
121,1092,1111
122,1093,1114
123,1096,1119
124,1103,1114
125,1103,1118
126,1101,1123
127,1106,1123
128,1111,1127
129,1111,1126
130,1119,1121
131,1113,1122
132,1121,1121
133,1125,1118
134,1128,1113
135,1131,1108
136,1131,1108
137,1128,1113
138,1126,1119
139,1120,1123
140,1125,1128
141,1129,1132
142,1135,1131
143,1142,1130
144,1146,1133
145,1152,1136
146,1154,1141
147,1158,1141
148,1160,1144
149,1159,1150
150,1162,1156
151,1164,1152
152,1172,1157
153,1176,1157
154,1183,1158
155,1180,1158
156,1180,1157
157,1183,1161
158,1177,1164
159,1176,1170
160,1173,1166
161,1180,1171
162,1181,1168
163,1177,1163
164,1171,1167
165,1177,1170
166,1176,1173
167,1171,1178
168,1178,1173
169,1173,1178
170,1177,1174
171,1183,1180
172,1189,1179
173,1187,1175
174,1187,1180
175,1183,1176
176,1188,1177
177,1193,1174
178,1196,1171
179,1196,1167
180,1203,1168
181,1201,1172
182,1202,1169
183,1208,1174
184,1206,1176
185,1212,1173
186,1206,1171
187,1201,1171
188,1197,1170
189,1197,1168
190,1193,1173
191,1192,1176
192,1198,1172
193,1192,1177
194,1191,1175
195,1186,1178
196,1186,1174
197,1184,1172
198,1190,1171
199,1185,1171
200,1186,1177
201,1193,1174
202,1191,1174
203,1195,1174
204,1199,1180
205,1203,1185
206,1197,1188
207,1197,1193
208,1191,1195
209,1192,1194
210,1199,1193
211,1196,1189
212,1190,1187
213,1192,1184
214,1189,1187
215,1183,1189
216,1188,1189
217,1191,1188
218,1189,1188
219,1193,1190
220,1191,1193
221,1190,1188
222,1197,1185
223,1202,1183
224,1204,1178
225,1207,1181
226,1211,1179
227,1207,1175
228,1207,1179
229,1206,1181
230,1208,1180
231,1202,1181
232,1208,1176
233,1204,1178
234,1207,1183
235,1205,1189
236,1207,1190
237,1213,1187
238,1212,1186
239,1212,1185
240,1213,1187
241,1220,1184
242,1224,1189
243,1229,1193
244,1237,1191
